season,seed,team,BPI,
1985,W01,1207,,
1985,W02,1210,,
1985,W03,1228,,
1985,W04,1260,,
1985,W05,1374,,
1985,W06,1208,,
1985,W07,1393,,
1985,W08,1396,,
1985,W09,1439,,
1985,W10,1177,,
1985,W11,1455,,
1985,W12,1330,,
1985,W13,1233,,
1985,W14,1318,,
1985,W15,1273,,
1985,W16,1250,,
1985,X01,1385,,
1985,X02,1433,,
1985,X03,1301,,
1985,X04,1424,,
1985,X05,1449,,
1985,X06,1409,,
1985,X07,1104,,
1985,X08,1234,,
1985,X09,1116,,
1985,X10,1112,,
1985,X11,1431,,
1985,X12,1246,,
1985,X13,1361,,
1985,X14,1305,,
1985,X15,1267,,
1985,X16,1380,,
1985,Y01,1328,,
1985,Y02,1272,,
1985,Y03,1181,,
1985,Y04,1326,,
1985,Y05,1256,,
1985,Y06,1403,,
1985,Y07,1412,,
1985,Y08,1425,,
1985,Y09,1229,,
1985,Y10,1277,,
1985,Y11,1130,,
1985,Y12,1338,,
1985,Y13,1235,,
1985,Y14,1337,,
1985,Y15,1335,,
1985,Y16,1299,,
1985,Z01,1276,,
1985,Z02,1314,,
1985,Z03,1242,,
1985,Z04,1261,,
1985,Z05,1268,,
1985,Z06,1345,,
1985,Z07,1323,,
1985,Z08,1437,,
1985,Z09,1173,,
1985,Z10,1333,,
1985,Z11,1120,,
1985,Z12,1275,,
1985,Z13,1298,,
1985,Z14,1325,,
1985,Z15,1292,,
1985,Z16,1192,,
1986,W01,1181,,
1986,W02,1393,,
1986,W03,1231,,
1986,W04,1328,,
1986,W05,1438,,
1986,W06,1386,,
1986,W07,1298,,
1986,W08,1330,,
1986,W09,1452,,
1986,W10,1409,,
1986,W11,1350,,
1986,W12,1177,,
1986,W13,1318,,
1986,W14,1156,,
1986,W15,1135,,
1986,W16,1290,,
1986,X01,1242,,
1986,X02,1276,,
1986,X03,1323,,
1986,X04,1207,,
1986,X05,1277,,
1986,X06,1301,,
1986,X07,1235,,
1986,X08,1239,,
1986,X09,1396,,
1986,X10,1275,,
1986,X11,1234,,
1986,X12,1449,,
1986,X13,1403,,
1986,X14,1114,,
1986,X15,1103,,
1986,X16,1299,,
1986,Y01,1246,,
1986,Y02,1210,,
1986,Y03,1272,,
1986,Y04,1228,,
1986,Y05,1104,,
1986,Y06,1345,,
1986,Y07,1439,,
1986,Y08,1443,,
1986,Y09,1304,,
1986,Y10,1437,,
1986,Y11,1261,,
1986,Y12,1462,,
1986,Y13,1193,,
1986,Y14,1123,,
1986,Y15,1265,,
1986,Y16,1172,,
1986,Z01,1385,,
1986,Z02,1257,,
1986,Z03,1314,,
1986,Z04,1424,,
1986,Z05,1268,,
1986,Z06,1412,,
1986,Z07,1133,,
